City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,khandagayty,50.7333,92.05,-24.72,95,94,2.12,RU,1675442203
228,namatanai,-3.6667,152.4333,26.75,79,100,2.09,PG,1675442204
229,formosa,-26.1775,-58.1781,28.99,58,75,4.63,AR,1675442004
230,amargosa,-13.0303,-39.6047,33.51,33,0,1.95,BR,1675442205
231,neuquen,-38.9516,-68.0591,31.94,33,20,3.09,AR,1675442000
232,upernavik,72.7868,-56.1549,-24.45,99,100,3.52,GL,1675442205
233,abu kamal,34.4506,40.9171,12.03,46,83,2.5,SY,1675442206
234,tukrah,32.5341,20.5791,13.61,64,30,5.25,LY,1675442206
235,skjervoy,70.0311,20.9714,-10.0,61,52,3.78,NO,1675442207
236,sao joao da barra,-21.6403,-41.0511,32.05,76,41,6.28,BR,1675442208
237,akhtanizovskaya,45.32,37.1,4.26,91,80,7.19,RU,1675442208
238,huron,41.1501,-82.5499,-9.63,67,5,7.71,US,1675442209
239,zamora,-4.0692,-78.9567,28.58,63,86,1.96,EC,1675442188
240,zhanjiang,21.2815,110.3427,18.2,92,100,5.67,CN,1675442210
241,uruzgan,32.8333,66.0,4.33,89,42,1.68,AF,1675442210
242,agadir,30.4202,-9.5982,20.25,34,0,3.12,MA,1675442211
243,endicott,42.0984,-76.0494,-12.14,70,100,7.6,US,1675441956
244,hay river,60.8156,-115.7999,-19.01,84,100,3.6,CA,1675442212
245,mumbwa,-14.9783,27.0619,20.24,90,69,0.96,ZM,1675442212
246,vao,-22.6667,167.4833,26.7,81,99,7.52,NC,1675442213
247,polignano a mare,40.9959,17.2159,12.24,63,10,1.52,IT,1675442213
248,adrar,20.5022,-10.0711,21.99,6,90,6.51,MR,1675442214
249,gilgit,35.9221,74.3087,2.34,75,82,0.63,PK,1675442214
250,konskie,51.1917,20.4061,0.69,99,100,3.85,PL,1675442215
251,biak,-0.9131,122.8766,24.85,77,100,1.74,ID,1675442216
252,avera,33.194,-82.5271,11.42,61,98,3.69,US,1675442217
253,oistins,13.0667,-59.5333,29.05,58,40,8.75,BB,1675442218
254,kharp,66.8014,65.8081,-8.52,93,100,1.8,RU,1675442219
255,zhezkazgan,47.8043,67.7144,-7.43,96,100,4.59,KZ,1675442219
256,qianan,44.9932,124.0581,-16.78,90,16,1.49,CN,1675442220
257,komsomolskiy,40.4272,71.7189,5.4,87,100,2.06,UZ,1675442221
258,baykit,61.67,96.37,-22.47,100,97,1.39,RU,1675442222
259,akkermanovka,51.2467,58.2391,-17.94,99,6,2.43,RU,1675442224
260,ilulissat,69.2167,-51.1,-11.99,61,75,2.06,GL,1675442224
261,gangapur,26.4833,76.7167,16.36,32,0,1.75,IN,1675441978
262,sitka,57.0531,-135.33,3.94,87,100,0.0,US,1675442227
263,victoria,22.2855,114.1577,19.1,84,81,5.36,HK,1675441963
264,raudeberg,61.9875,5.1352,2.15,76,100,6.01,NO,1675442228
265,maniitsoq,65.4167,-52.9,-14.63,79,100,1.66,GL,1675442228
266,alice springs,-23.7,133.8833,16.75,82,0,0.0,AU,1675442229
267,tessalit,20.1986,1.0114,20.89,10,56,7.11,ML,1675442229
268,vardo,70.3705,31.1107,-4.01,86,40,8.75,NO,1675442230
269,bodden town,19.2833,-81.25,28.33,70,75,3.58,KY,1675442230
270,kropotkin,45.4375,40.5756,2.74,78,99,3.09,RU,1675442231
271,barabai,-2.5833,115.3833,23.21,96,100,0.26,ID,1675442231
272,pisco,-13.7,-76.2167,24.03,78,0,4.12,PE,1675442159
273,mar del plata,-38.0023,-57.5575,23.86,63,40,8.23,AR,1675442232
274,vysokogornyy,50.1167,139.15,-29.48,100,88,0.88,RU,1675442232
275,yarkovo,57.4028,67.0786,-16.85,98,96,1.82,RU,1675442233
276,port moresby,-9.4431,147.1797,24.68,94,20,2.57,PG,1675442233
277,carutapera,-1.195,-46.02,28.31,72,56,3.82,BR,1675442234
278,morros,-9.4467,-46.3003,31.59,44,66,2.84,BR,1675442234
279,saint george,37.1041,-113.5841,5.14,62,0,0.0,US,1675442235
280,ulladulla,-35.35,150.4667,14.84,50,2,3.75,AU,1675442236
281,gusau,12.1628,6.6614,33.76,10,71,4.25,NG,1675442237
282,bagdarin,54.4333,113.6,-23.41,93,94,1.85,RU,1675442237
283,isangel,-19.55,169.2667,27.67,84,95,5.29,VU,1675442238
284,burns lake,54.2331,-125.7533,-2.32,97,100,1.16,CA,1675442239
285,dingle,10.9995,122.6711,23.52,92,64,3.86,PH,1675442239
286,constitucion,-35.3333,-72.4167,22.09,63,5,4.09,CL,1675442240
287,san cristobal,7.7669,-72.225,24.1,30,23,2.71,VE,1675442241
288,buchanan,5.8808,-10.0467,28.36,71,39,5.05,LR,1675442241
289,kijini,-5.85,39.3167,29.85,81,78,5.38,TZ,1675442242
290,turayf,31.6725,38.6637,9.14,46,20,3.09,SA,1675442242
291,bandarbeyla,9.4942,50.8122,24.13,67,3,8.24,SO,1675442243
292,rafaela,-31.2503,-61.4867,31.11,38,0,6.76,AR,1675442243
293,brodokalmak,55.5748,62.082,-12.5,88,56,2.84,RU,1675442009
294,oromocto,45.8351,-66.4792,-14.92,39,20,9.77,CA,1675441978
295,sao gabriel da cachoeira,-0.1303,-67.0892,27.89,78,75,1.54,BR,1675442244
296,karratha,-20.7377,116.8463,29.71,63,48,3.92,AU,1675442245
297,ostrovnoy,68.0531,39.5131,-12.17,93,99,3.64,RU,1675442245
298,manta,-0.95,-80.7333,24.88,88,100,1.54,EC,1675442246
299,siavonga,-16.5382,28.7088,26.02,79,98,2.45,ZM,1675442247
300,pangnirtung,66.1451,-65.7125,-35.0,75,75,1.54,CA,1675442247
301,hearst,49.6835,-83.6665,-29.86,83,100,5.5,CA,1675442248
302,necochea,-38.5473,-58.7368,23.51,48,5,6.36,AR,1675442249
303,jennings,38.7192,-90.2604,-5.48,49,40,4.12,US,1675442250
304,guerrero negro,27.9769,-114.0611,17.38,43,46,2.12,MX,1675442251
305,arenapolis,-14.4503,-56.8461,32.33,52,93,1.76,BR,1675442199
306,ciocile,44.8167,27.2333,2.46,76,54,2.29,RO,1675442251
307,airai,-8.9266,125.4092,15.37,96,100,1.48,TL,1675442252
308,chake chake,-5.2459,39.7666,26.8,80,67,4.5,TZ,1675442252
309,kargopol,61.5071,38.9456,-5.09,97,100,1.79,RU,1675442253
310,flinders,-34.5833,150.8552,17.88,56,14,2.24,AU,1675442253
311,nueva guinea,11.6876,-84.4562,23.6,84,95,5.51,NI,1675442254
312,lazaro cardenas,17.9583,-102.2,29.68,34,2,2.0,MX,1675442039
313,ayan,56.45,138.1667,-24.12,86,30,2.69,RU,1675442254
314,pasni,25.2631,63.471,21.15,78,0,6.14,PK,1675442255
315,khuzhir,53.1939,107.3397,-11.46,89,94,2.86,RU,1675442255
316,aripuana,-9.1667,-60.6333,27.54,86,65,1.32,BR,1675442256
317,zapolyarnyy,69.4154,30.8136,-22.4,100,98,2.28,RU,1675442256
318,saint-pierre,-21.3393,55.4781,25.82,78,100,10.29,RE,1675442257
319,fond du lac,43.775,-88.4388,-16.43,55,0,3.6,US,1675442132
320,salamiyah,35.0113,37.0532,8.39,68,71,3.65,SY,1675442257
321,minas,-34.3759,-55.2377,22.37,72,84,9.82,UY,1675442258
322,garmsar,35.2182,52.3409,5.91,37,0,4.21,IR,1675442259
323,fare,-16.7,-151.0167,27.48,76,4,6.98,PF,1675442261
324,hoa binh,20.8133,105.3383,20.18,97,100,0.88,VN,1675442261
325,iskateley,67.6803,53.1512,-12.74,95,66,5.27,RU,1675442263
326,beloha,-25.1667,45.05,23.26,85,73,6.38,MG,1675442264
327,mina,26.0011,-100.5299,12.9,52,81,1.51,MX,1675442264
328,puerto montt,-41.4698,-72.9447,21.46,60,0,8.23,CL,1675442265
329,chiredzi,-21.05,31.6667,30.1,42,98,4.06,ZW,1675442266
330,aviles,43.5547,-5.9248,12.99,73,0,4.12,ES,1675442266
331,gashua,12.871,11.0482,30.02,14,52,4.57,NG,1675442267
332,desa,43.8667,23.0333,4.53,60,73,4.84,RO,1675442267
333,farafangana,-22.8167,47.8333,23.95,89,45,3.64,MG,1675442268
334,hualmay,-11.0964,-77.6139,24.6,73,100,4.27,PE,1675442268
335,sumbe,-11.2061,13.8437,26.87,74,88,5.24,AO,1675442269
336,mackay,-21.15,149.2,26.49,83,100,2.12,AU,1675442270
337,muisne,0.6,-80.0333,26.17,82,98,3.62,EC,1675442270
338,dongsheng,39.8161,109.9776,-7.83,39,0,1.9,CN,1675442271
339,gaogou,34.0175,119.1886,1.65,58,1,1.52,CN,1675442271
340,siilinjarvi,63.0833,27.6667,-5.99,86,100,2.57,FI,1675442272
341,ambilobe,-13.2,49.05,24.81,88,12,0.48,MG,1675442272
342,muros,42.7762,-9.0603,15.05,76,0,2.94,ES,1675442273
343,xining,36.6167,101.7667,-4.0,46,0,0.65,CN,1675442273
344,nueva gorgona,8.55,-79.8667,32.34,99,23,4.12,PA,1675442274
345,daru,-9.0763,143.2092,25.46,90,100,4.18,PG,1675442274
346,sobolevo,54.4299,31.8996,-4.58,95,99,3.21,RU,1675442275
347,arlit,18.7369,7.3853,30.66,12,50,3.97,NE,1675442275
348,grindavik,63.8424,-22.4338,8.26,93,100,19.55,IS,1675442276
349,saint-joseph,-21.3667,55.6167,25.21,86,90,6.8,RE,1675442276
350,kapustin yar,48.5831,45.7372,-4.16,96,100,1.84,RU,1675442277
351,aksu,41.1231,80.2644,-7.34,88,14,1.58,CN,1675442277
352,caravelas,-17.7125,-39.2481,30.37,54,11,5.41,BR,1675442278
353,gat,31.61,34.7642,13.38,100,52,1.21,IL,1675442278
354,vangaindrano,-23.35,47.6,23.05,92,55,2.04,MG,1675442279
355,carnot,4.9409,15.8665,31.39,22,95,0.53,CF,1675442279
356,thinadhoo,0.5333,72.9333,27.35,70,22,7.35,MV,1675442280
357,kavaratti,10.5669,72.642,27.27,65,50,1.27,IN,1675442281
358,kargasok,59.0556,80.8572,-13.29,98,100,0.68,RU,1675442281
359,sanmenxia,34.7747,111.1814,4.14,39,66,1.04,CN,1675442282
360,brae,60.3964,-1.353,5.01,75,100,2.55,GB,1675442282
361,ampanihy,-24.7,44.75,24.96,76,60,3.56,MG,1675442283
362,peto,20.1333,-88.9167,30.42,44,6,1.84,MX,1675442284
363,beidao,34.5686,105.8933,4.4,46,99,1.17,CN,1675442285
